sex,race,age_group,county,crime_class,relinst,days_court,days_newsent,days_tech,days_other,release_year,release_month
Male,Black,30-34,Cook,Person,Shawnee,,,1116.0,,2019,2019-11-01
Male,Black,20-24,Cook,Public Order,Stateville,1089.0,,,,2020,2020-04-01
Male,Black,45-54,Kane,Public Order,Jacksonville,1529.0,214.0,423.0,,2019,2019-05-01
Male,White,35-44,Cook,Property,Dixon,559.0,,85.0,,2019,2019-07-01
Male,Black,25-29,Cook,Public Order,Vandalia,,,734.0,,2019,2019-04-01
Male,White,35-44,Madison,Property,Big Muddy River,,,163.0,,2019,2019-01-01
Male,Black,25-29,St. Clair,Property,Menard,1063.0,,1674.0,,2019,2019-12-01
Male,Black,45-54,Champaign,Person,Illinois River,,,220.0,,2018,2018-05-01
Male,Hispanic,30-34,Cook,Public Order,Stateville,573.0,779.0,1352.0,,2018,2018-12-01
Male,Black,30-34,Cook,Person,Stateville,,,194.0,,2018,2018-06-01
Male,Black,20-24,Cook,Drug,Jacksonville,1389.0,,1656.0,,2018,2018-05-01
Male,White,30-34,Cook,Drug,East Moline,1831.0,,,,2018,2018-05-01
Male,White,25-29,Mason,Person,Stateville,535.0,,,,2018,2018-09-01
Male,White,30-34,Madison,Drug,East Moline,267.0,,71.0,,2018,2018-04-01
Male,White,20-24,Wayne,Property,Vandalia,,,165.0,,2018,2018-05-01
Male,Black,20-24,Will,Property,Centralia,1554.0,,317.0,,2018,2018-02-01
Male,White,20-24,Saline,Property,Illinois River,,,288.0,,2018,2018-04-01
Male,Black,30-34,Cook,Public Order,Vandalia,2226.0,,,,2018,2018-06-01
Male,Black,20-24,Cook,Person,Stateville,,,241.0,,2023,2023-04-01
Male,White,30-34,Sangamon,Person,Taylorville,,,10.0,,2024,2024-12-01
Male,Bi-Racial,35-44,Rock Island,Person,Stateville,865.0,,1602.0,,2019,2019-12-01
Male,Black,25-29,Cook,Public Order,Pinckneyville,2531.0,447.0,,,2018,2018-09-01
Male,Black,20-24,Winnebago,Property,Hill,682.0,,,,2022,2022-12-01
Male,White,25-29,Macoupin,Property,Robinson,1091.0,,1895.0,,2019,2019-10-01
Male,White,25-29,Cook,Person,Robinson,1890.0,,187.0,,2019,2019-03-01
Male,Black,25-29,Cook,Drug,Illinois River,,,233.0,,2023,2023-03-01
Male,Black,35-44,Cook,Public Order,Robinson,,,,,2025,2025-05-01
Male,White,30-34,Macon,Drug,Lincoln,,,,,2025,2025-07-01
Female,Black,30-34,Peoria,Person,Logan,,,,,2025,2025-01-01
Male,White,30-34,Sangamon,Person,Vandalia,,,,,2025,2025-10-01
Male,White,35-44,Lawrence,Person,Shawnee,,,,,2025,2025-10-01
Male,Hispanic,35-44,Tazewell,Person,Robinson,,,,,2025,2025-10-01
Male,Black,30-34,DuPage,Public Order,Jacksonville,,,,,2025,2025-08-01
